,tweet_id,retweet_count,favorite_count
0,892420643555336193,8366,38196
1,892177421306343426,6177,32747
2,891815181378084864,4089,24658
3,891689557279858688,8503,41516
4,891327558926688256,9207,39716
5,891087950875897856,3064,19934
6,890971913173991426,2029,11662
7,890729181411237888,18566,64454
8,890609185150312448,4205,27392
9,890240255349198849,7266,31434
10,890006608113172480,7216,30225
11,889880896479866881,4896,27389
12,889665388333682689,9893,47420
13,889638837579907072,4473,26761
14,889531135344209921,2208,14887
15,889278841981685760,5288,24882
16,888917238123831296,4422,28668
17,888804989199671297,4224,25186
18,888554962724278272,3492,19540
19,888078434458587136,3443,21441
20,887705289381826560,5303,29737
21,887517139158093824,11486,45590
22,887473957103951883,17892,68077
23,887343217045368832,10244,33188
24,887101392804085760,5872,30123
25,886983233522544640,7650,34651
26,886736880519319552,3230,11876
27,886680336477933568,4396,22103
28,886366144734445568,3150,20873
29,886267009285017600,4,116
30,886258384151887873,6186,27580
31,886054160059072513,105,0
32,885984800019947520,6691,32190
33,885528943205470208,6331,35464
34,885518971528720385,3704,20125
35,885311592912609280,18282,0
36,885167619883638784,4314,21596
37,884925521741709313,18003,76358
38,884876753390489601,5563,27519
39,884562892145688576,4659,23956
40,884441805382717440,5571,26609
41,884247878851493888,20154,71990
42,884162670584377345,2944,20070
43,883838122936631299,3396,21584
44,883482846933004288,9802,45265
45,883360690899218434,3644,22357
46,883117836046086144,6575,36669
47,882992080364220416,3865,23625
48,882762694511734784,4844,27904
49,882627270321602560,5997,27521
50,882268110199369728,11434,44329
51,882045870035918850,4902,28947
52,881906580714921986,3344,23981
53,881666595344535552,10513,49882
54,881633300179243008,7,124
55,881536004380872706,15716,48758
56,881268444196462592,5095,22767
57,880935762899988482,2746,16783
58,880872448815771648,3764,20981
59,880465832366813184,6186,28137
60,880221127280381952,4161,26691
61,880095782870896641,4299,27272
62,879862464715927552,3449,22025
63,879674319642796034,10,308
64,879492040517615616,3141,23099
65,879415818425184262,43625,104421
66,879376492567855104,3078,16549
67,879130579576475649,6739,0
68,879050749262655488,4657,22254
69,879008229531029506,2664,18730
70,878776093423087618,4078,19144
71,878604707211726852,7111,29866
72,878404777348136964,1271,0
73,878316110768087041,6570,0
74,878281511006478336,1271,7645
75,878057613040115712,6739,41471
76,877736472329191424,18862,78751
77,877611172832227328,80,0
78,877556246731214848,3766,22418
79,877316821321428993,5116,27019
80,877201837425926144,5520,26763
81,876838120628539392,3308,20415
82,876537666061221889,4578,23198
